Species	Phylum	Order	Genus	TaxID	B12 synthesis	DMB synthesis	B7 synthesis	B3 synthesis	PABA synthesis
Endomicrobium proavitum	Elusimicrobia	Endomicrobiales	Endomicrobium	1408281	0	1	0	1	1
Geobacillus sp. MAS1	Firmicutes	Bacillales	Geobacillus	1408282	1	0	1	1	1
Bacillus kribbensis	Firmicutes	Bacillales	Bacillus	356658	0	0	0	0	1
Psychromonas aquimarina	Proteobacteria	Alteromonadales	Psychromonas	444919	0	1	1	1	1
Xenorhabdus griffiniae	Proteobacteria	Enterobacteriales	Xenorhabdus	351672	1	0	1	0	1
Xenorhabdus cabanillasii	Proteobacteria	Enterobacteriales	Xenorhabdus	351673	1	0	1	0	1
Xenorhabdus doucetiae	Proteobacteria	Enterobacteriales	Xenorhabdus	351671	0	0	1	0	1
Corynebacterium ureicelerivorans	Actinobacteria	Corynebacteriales	Corynebacterium	401472	0	0	1	1	0
Planktomarina temperata	Proteobacteria	Rhodobacterales	Planktomarina	1284658	1	0	0	0	1
Corynebacterium lipophiloflavum	Actinobacteria	Corynebacteriales	Corynebacterium	161889	0	0	1	1	0
Neisseria subflava NJ9703	Proteobacteria	Neisseriales	Neisseria	546268	0	0	0	1	0
Frankia sp. Allo2	Actinobacteria	Frankiales	Frankia	981405	1	1	0	1	0
Desulfonatronum thiodismutans	Proteobacteria	Desulfovibrionales	Desulfonatronum	159290	1	0	0	1	0
Chitiniphilus shinanonensis	Proteobacteria	Neisseriales	Chitiniphilus	553088	0	0	1	1	1
Psychroflexus torquis	Bacteroidetes	Flavobacteriales	Psychroflexus	57029	0	0	1	0	1
Streptomyces xiaopingdaonensis	Actinobacteria	Streptomycetales	Streptomyces	1565415	1	1	0	1	0
Pseudoalteromonas agarivorans	Proteobacteria	Alteromonadales	Pseudoalteromonas	176102	0	0	0	0	1
Caloramator mitchellensis	Firmicutes	Clostridiales	Caloramator	908809	1	0	0	1	1
Spirochaeta sp. JC202	Spirochaetes	Spirochaetales	Spirochaeta	1329640	0	0	0	0	0
Marmoricola sp. Leaf446	Actinobacteria	Propionibacteriales	Marmoricola	1736379	1	1	0	1	1
Terribacillus aidingensis	Firmicutes	Bacillales	Terribacillus	586416	0	0	0	0	1
Oceanobacillus manasiensis	Firmicutes	Bacillales	Oceanobacillus	586413	0	0	0	0	1
Lyngbya sp. PCC 8106	Cyanobacteria	Oscillatoriales	Lyngbya	313612	1	0	1	1	0
Clostridiales bacterium DRI-13	Firmicutes	Clostridiales	root	1449126	1	1	1	1	1
Thermotoga profunda	Thermotogae	Thermotogales	Thermotoga	1508420	0	1	0	0	0
Streptomyces turgidiscabies	Actinobacteria	Streptomycetales	Streptomyces	85558	1	1	0	1	0
Streptomyces leeuwenhoekii	Actinobacteria	Streptomycetales	Streptomyces	1437453	1	1	0	1	0
Corynebacterium sputi	Actinobacteria	Corynebacteriales	Corynebacterium	489915	1	0	1	1	0
Thermus oshimai	Deinococcus-Thermus	Thermales	Thermus	56957	1	0	0	1	0
Parvularcula bermudensis	Proteobacteria	Parvularculales	Parvularcula	208216	0	0	0	1	1
